,train,val,test
0,slide_13,slide_398,slide_84
1,slide_109,slide_257,slide_274
2,slide_110,slide_298,slide_275
3,slide_112,slide_396,slide_95
4,slide_113,slide_177,slide_384
5,slide_114,slide_210,slide_401
6,slide_116,slide_211,slide_462
7,slide_117,slide_8,slide_393
8,slide_118,slide_134,slide_323
9,slide_14,slide_347,slide_461
10,slide_120,slide_171,slide_82
11,slide_121,slide_133,slide_143
12,slide_123,slide_173,slide_122
13,slide_124,slide_369,slide_374
14,slide_127,slide_420,slide_260
15,slide_128,slide_200,slide_292
16,slide_130,slide_237,slide_167
17,slide_135,slide_308,slide_71
18,slide_136,slide_463,slide_284
19,slide_137,slide_472,slide_92
20,slide_16,slide_473,slide_153
21,slide_139,slide_54,slide_119
22,slide_141,slide_142,slide_162
23,slide_144,slide_333,slide_88
24,slide_145,slide_483,slide_89
25,slide_146,slide_314,slide_252
26,slide_17,slide_280,slide_132
27,slide_150,slide_330,slide_151
28,slide_152,slide_331,slide_464
29,slide_154,slide_390,slide_307
30,slide_155,slide_443,slide_423
31,slide_156,slide_235,slide_261
32,slide_157,slide_478,slide_302
33,slide_160,slide_346,slide_76
34,slide_161,slide_375,slide_361
35,slide_165,slide_169,slide_362
36,slide_166,slide_170,slide_190
37,slide_168,slide_399,slide_93
38,slide_172,slide_83,slide_258
39,slide_20,slide_187,slide_9
40,slide_174,slide_269,slide_10
41,slide_175,slide_351,slide_245
42,slide_176,slide_451,slide_246
43,slide_179,slide_255,slide_475
44,slide_180,slide_263,slide_273
45,slide_21,slide_138,slide_438
46,slide_183,slide_460,slide_36
47,slide_184,slide_249,slide_434
48,slide_185,slide_15,slide_435
49,slide_186,,slide_494
50,slide_194,,slide_495
51,slide_197,,slide_291
52,slide_199,,
53,slide_202,,
54,slide_204,,
55,slide_205,,
56,slide_207,,
57,slide_208,,
58,slide_209,,
59,slide_212,,
60,slide_213,,
61,slide_214,,
62,slide_217,,
63,slide_3,,
64,slide_4,,
65,slide_218,,
66,slide_221,,
67,slide_222,,
68,slide_223,,
69,slide_224,,
70,slide_225,,
71,slide_226,,
72,slide_227,,
73,slide_228,,
74,slide_229,,
75,slide_25,,
76,slide_230,,
77,slide_231,,
78,slide_232,,
79,slide_233,,
80,slide_234,,
81,slide_236,,
82,slide_26,,
83,slide_240,,
84,slide_242,,
85,slide_243,,
86,slide_244,,
87,slide_247,,
88,slide_248,,
89,slide_250,,
90,slide_251,,
91,slide_27,,
92,slide_253,,
93,slide_254,,
94,slide_256,,
95,slide_259,,
